,Country,City name,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
190,ML,Kidal,18.44,1.41,91,302.56,296.46,302.56,302.56,4.73,9,1007
191,MY,George Town,5.41,100.34,20,299.4,305.57,300.15,298.71,1.5,100,1010
192,CA,Cap-aux-Meules,47.38,-61.86,5,268.15,263.54,268.15,268.15,2.1,62,1004
193,BR,Paracuru,-3.41,-39.03,20,302.51,306.64,302.59,302.15,2.6,74,1011
194,EG,Marsá Maţrūḩ,31.35,27.25,1,288,285.07,288,288,4.51,76,1015
195,NZ,Te Anau,-45.42,167.72,99,284.39,281.53,284.39,284.39,2.52,66,1013
196,RU,Domna,51.9,113.16,51,271.15,267.13,271.15,271.15,1,39,1030
197,RU,Znamenskoye,57.13,73.83,100,270.68,263.47,270.68,270.68,6.75,90,1011
198,CL,Coquimbo,-29.95,-71.34,90,290.15,289.59,290.15,290.15,2.1,77,1015
199,TR,Zonguldak,41.25,31.83,38,276.73,274.6,276.73,276.73,0.26,79,1019
200,NE,Bilma,18.69,12.92,81,299.95,291.8,299.95,299.95,8.24,14,1010
201,IN,Kavaratti,10.57,72.64,3,301.82,303.86,301.82,301.82,3.56,66,1011
202,MV,Ugoofaaru,5.67,73,35,302.48,305.6,302.48,302.48,4.02,74,1010
203,CA,High Level,58.52,-117.14,40,275.15,268.44,275.15,275.15,5.1,37,1021
204,US,Morgan City,29.7,-91.21,90,298.36,300.08,299.82,297.59,5.1,88,1012
205,KR,Gijang,35.24,129.21,5,284.15,279.36,284.15,284.15,3.6,40,1022
206,PT,Lagoa,39.05,-27.98,0,289.26,286.14,289.26,289.26,5.8,82,1018
207,ZA,Willowmore,-33.29,23.49,59,283.52,277.9,283.52,283.52,6.16,65,1021
208,PG,Kavieng,-2.57,150.8,13,301.96,306.27,301.96,301.96,1.91,74,1012
209,EC,Puerto Ayora,-0.74,-90.35,20,300.31,301.97,301.15,299.82,5.1,78,1009
210,US,Palmer,42.16,-72.33,20,281.03,278.47,284.26,278.15,1.5,71,1002
211,CN,Mengcheng,33.26,116.57,14,287.17,284.5,287.17,287.17,2.69,61,1019
212,YE,Marzuq,14.4,46.47,0,294.2,291.03,294.2,294.2,1.39,22,1012
213,NO,Fevik,58.38,8.68,40,278.32,273.31,279.26,277.04,3.6,52,1019
214,US,Nome,64.5,-165.41,90,260.82,255.66,261.48,260.15,2.6,84,1018
215,GQ,Bata,1.86,9.77,92,298.89,302.81,298.89,298.89,2.06,86,1010
216,EC,Palora,-1.7,-77.93,99,293.93,295.53,293.93,293.93,0.42,73,1014
217,JP,Hasaki,35.73,140.83,20,288.48,285.41,289.82,287.15,3.1,54,1017
218,ES,Adeje,28.12,-16.73,20,291.93,290.91,294.82,289.15,4.1,82,1021
219,EG,Aswān,24.09,32.91,13,293.15,287.62,293.15,293.15,4.6,22,1012
