,Country,City name,Date,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
259,RU,Krasnosel'kup,1586462834,65.7,82.47,23,265.9,256.99,265.9,265.9,8.62,96,1010
260,AU,Broken Hill,1586462834,-31.95,141.43,0,285.15,283.84,285.15,285.15,1.5,81,1018
261,JP,Nemuro,1586462834,43.32,145.57,80,272.85,268.03,272.85,272.85,3.82,94,1015
262,AU,Esperance,1586462721,-33.87,121.9,90,292.15,293.83,292.15,292.15,1.5,93,1017
263,MN,Ulaangom,1586462835,49.98,92.07,68,268.4,264.89,268.4,268.4,0.94,81,1024
264,AR,Comodoro Rivadavia,1586462835,-45.87,-67.5,0,302.15,297.7,302.15,302.15,4.6,21,1008
265,JP,Shingū,1586462835,33.73,135.98,0,280.57,276.45,280.57,280.57,3.09,60,1020
266,CN,Wangou,1586462835,42.06,126.91,0,270.27,267.45,270.27,270.27,0.15,79,1029
267,CR,Nicoya,1586462836,10.15,-85.45,40,310.15,308.04,310.15,310.15,8.2,37,1008
268,PE,San Jerónimo,1586462836,-11.95,-75.28,70,289.32,285.21,289.32,289.32,2.23,24,1013
269,UY,Chui,1586462836,-33.7,-53.46,36,290.85,287.88,290.85,290.85,5.1,69,1020
270,PF,Tautira,1586462836,-17.73,-149.15,80,304.15,306.33,304.15,304.15,5.1,66,1015
271,RU,Nikolskoye,1586462836,59.7,30.79,11,274.51,269.24,276.15,273.71,4,69,1008
272,GB,Lowestoft,1586462837,52.48,1.75,50,282.33,279.49,284.26,280.93,3.1,87,1028
273,BR,Laje,1586462837,-10.18,-40.97,67,298.57,300.22,298.57,298.57,0.94,59,1009
274,BR,Cururupu,1586462837,-1.83,-44.87,64,299.44,303.85,299.44,299.44,2.29,89,1009
275,OM,Salalah,1586462837,17.02,54.09,20,300.15,304.41,300.15,300.15,2.1,83,1013
276,RU,Vitim,1586462838,59.45,112.56,0,272.46,268.61,272.46,272.46,2.27,91,1027
277,PK,Gilgit,1586462838,35.92,74.31,100,282.81,279.19,282.81,282.81,1.32,33,1022
278,MR,Adrar,1586462838,20.5,-10.07,0,302.01,296.34,302.01,302.01,4.44,11,1011
279,MN,Khovd,1586462838,48.01,91.64,44,276.47,272.86,276.47,276.47,0.8,37,1021
280,MG,Mahajanga,1586462839,-15.72,46.32,20,301.15,303.56,301.15,301.15,3.1,69,1014
281,MU,Souillac,1586462839,-20.52,57.52,40,297.63,299.85,298.15,297.04,3.1,83,1019
282,GF,Sinnamary,1586462839,5.38,-52.95,98,300.33,301.7,300.33,300.33,6.04,81,1009
283,IN,Māgadi,1586462839,12.97,77.23,40,299.86,305.92,301.48,294.15,2.1,100,1016
284,RU,Zhigansk,1586462583,66.77,123.37,100,274.75,266.79,274.75,274.75,8.7,94,1016
285,MZ,Nampula,1586462840,-15.12,39.27,75,297.15,298.57,297.15,297.15,4.6,88,1019
286,CL,Osorno,1586462840,-40.57,-73.15,100,291.15,289.61,291.15,291.15,2.6,63,1015
287,MX,Guerrero Negro,1586462840,27.98,-114.06,0,291.4,285.02,291.4,291.4,8.03,47,1018
288,ID,Sungai Raya,1586462840,0.7,108.9,49,298.22,302.74,298.22,298.22,1.43,91,1010
289,SE,Örnsköldsvik,1586462841,63.29,18.72,12,276.59,269.63,277.15,276.15,5.7,40,1015
290,NO,Raudeberg,1586462841,61.99,5.14,97,275.97,270.36,277.15,274.82,4.1,51,1029
291,RU,Leningradskiy,1586462841,69.38,178.42,66,253.73,248.62,253.73,253.73,2.15,90,1025
